Year,Month,logan_passengers,logan_intl_flights,hotel_occup_rate,hotel_avg_daily_rate,total_jobs,unemp_rate,labor_force_part_rate,pipeline_unit,pipeline_total_dev_cost,pipeline_sqft,pipeline_const_jobs,foreclosure_pet,foreclosure_deeds,med_housing_price,housing_sales_vol,new_housing_const_permits,new-affordable_housing_permits
2013,1,2019662,2986,0.572,158.93,322957,0.066,0.631,329,80000000,313107,228,44,11,380000,405,534,134
2013,2,1878731,2587,0.645,165.5,324295,0.06,0.629,557,360700000,885681,809,50,10,359500,332,196,13
2013,3,2469155,3250,0.819,187.45,325597,0.058,0.631,127,10550000,106386,128,6,6,400000,479,12,0
2013,4,2551246,3408,0.855,233.44,326101,0.058,0.632,325,150000000,350000,254,14,8,403000,558,91,24
2013,5,2676291,3240,0.858,237.89,325160,0.063,0.633,122,222200000,457374,402,12,4,425500,809,63,0
2013,6,2824862,3402,0.911,244.45,329151,0.07,0.645,482,143500000,632666,405,14,13,445000,864,352,47
2013,7,2978718,3660,0.886,221.2,329650,0.068,0.645,1376,640924364,1482428,1029,19,11,429000,909,462,44
2013,8,3020074,3700,0.917,223,330525,0.063,0.643,134,57897696,283502,203,11,8,435000,989,20,3
2013,9,2504491,3181,0.881,255.5,326334,0.063,0.635,833,1021000000,1380698,1112,19,6,438000,677,357,23
2013,10,2672640,3056,0.915,287.47,328683,0.058,0.637,542,349324048,1010491,2835,15,10,465000,619,42,185
2013,11,2296667,2708,0.786,222.55,331900,0.055,0.641,1123,2755500000,4714445,3976,15,3,450000,570,712,166
2013,12,2345162,2780,0.589,157.89,330927,0.053,0.637,973,2080000000,3389119,2405,13,4,429000,591,209,48
2014,1,2016205,2714,0.605,168.48,329581,0.058,0.627,1622,1354832000,3514132,2826,10,10,475000,440,250,127
2014,2,1935511,2591,0.647,171.5,331686,0.054,0.628,742,276400000,706923,702,20,10,459400,384,403,38
2014,3,2555815,3152,0.788,198.65,334019,0.052,0.631,0,115000000,538881,1079,32,6,474389,478,70,21
2014,4,2551246,3408,0.883,260.13,333925,0.049,0.629,581,201700000,763634,859,31,2,470000,459,399,60
2014,5,2877233,3478,0.894,262.22,333710,0.053,0.631,895,443925049,1199732,1046,23,6,465000,1092,469,113
2014,6,2938917,3674,0.911,259.62,338655,0.058,0.644,239,133600000,445605,282,16,8,480000,2342,339,69
2014,7,3137087,4000,0.931,245.93,339755,0.059,0.647,48,40000000,285083,151,41,10,450000,2508,588,19
2014,8,3136875,3962,0.926,247.29,340804,0.055,0.646,32,35500000,121642,89,34,11,456000,1612,56,4
2014,9,2672685,3444,0.901,285.83,336259,0.054,0.637,354,344210000,595153,366,33,14,462000,603,353,44
